node_id,paper_id,true_label,gcn_pred,gcn_correct,gat_pred,gat_correct,pca_x,pca_y,pca_z,tsne_x,tsne_y,tsne_z
346,2580068393,arxiv cs lg,arxiv cs ai,False,arxiv cs lg,True,0.37646163,-0.3901862,0.71923953,15.967876,24.083178,-5.359212
398,2625226699,arxiv cs ai,arxiv cs cv,False,arxiv cs cv,False,0.2628423,0.27609587,-0.24091926,2.8601015,6.8710346,10.209682
451,2763049606,arxiv cs lg,arxiv cs cv,False,arxiv cs cv,False,0.27228832,-0.03985262,0.03951837,15.775508,15.444475,3.3110766
480,2775899375,arxiv cs cr,arxiv cs si,False,arxiv cs se,False,-0.54385537,0.10108547,0.08669189,-11.241395,-28.475721,3.9353666
488,2782758897,arxiv cs cg,arxiv cs ds,False,arxiv cs ds,False,0.011448264,0.77581567,0.4043533,-4.257588,17.431118,21.495989
490,2783112387,arxiv cs it,arxiv cs it,True,arxiv cs it,True,0.054531157,0.521621,-0.31870282,-4.9425864,28.342777,-6.5947185
526,2792827505,arxiv cs cv,arxiv cs cv,True,arxiv cs cv,True,0.34788346,-0.15396844,-0.24247855,2.1172523,10.240209,-11.060714
537,2795417538,arxiv cs cv,arxiv cs cv,True,arxiv cs cv,True,0.030519128,0.05436863,-0.05270183,12.97564,-8.120438,25.187206
540,2795999188,arxiv cs cv,arxiv cs cv,True,arxiv cs cv,True,0.69434786,-0.08394636,-0.16741514,9.674559,4.4037333,10.788019
602,2883004598,arxiv cs sy,arxiv cs dc,False,arxiv cs dc,False,-0.34468034,0.48290342,-0.43885303,-19.986301,20.546629,-13.1173
616,2887420797,arxiv cs cv,arxiv cs cv,True,arxiv cs cv,True,0.64240634,-0.89355695,0.07495661,21.044876,13.190935,-13.994726
666,2901574935,arxiv cs et,arxiv cs dc,False,arxiv cs dc,False,-0.4782186,0.30682862,0.09899133,-13.92292,-29.106848,-1.1652552
682,2904145923,arxiv cs lg,arxiv cs lg,True,arxiv cs lg,True,-0.015300751,-0.27732742,-0.01261583,-2.6594858,-4.3945203,-6.520615
683,2905153101,arxiv cs lg,arxiv cs lg,True,arxiv cs lg,True,-0.29156396,0.35775244,-0.11081467,-14.181322,-6.259288,21.546995
685,2906947607,arxiv cs lg,arxiv cs gt,False,arxiv cs gt,False,0.06482053,0.051298738,0.1744108,19.982656,18.015186,12.563521
688,2907886055,arxiv cs cl,arxiv cs cv,False,arxiv cs cv,False,-0.21791458,-0.17855589,0.24237686,1.7548892,-3.9227827,-21.42166
690,2908729273,arxiv cs cv,arxiv cs cv,True,arxiv cs cv,True,0.17203307,0.34500727,-0.23677135,-4.2922363,-0.6559526,19.50605
691,2909002451,arxiv cs it,arxiv cs ni,False,arxiv cs ni,False,0.42683303,0.09734871,-0.32910717,-9.569259,29.149456,-19.041107
692,2909735162,arxiv cs ro,arxiv cs ro,True,arxiv cs ro,True,-0.21437079,-0.113621816,0.03725648,2.4978569,-7.301448,-27.132544
693,2910138965,arxiv cs cv,arxiv cs cv,True,arxiv cs cv,True,0.2709155,0.11071856,0.056770265,11.30368,-10.241973,26.093657
694,2910326436,arxiv cs sd,arxiv cs cv,False,arxiv cs cv,False,0.12211871,-0.311208,0.14173582,18.993929,1.611601,-12.274344
696,2910869157,arxiv cs cc,arxiv cs cc,True,arxiv cs cc,True,-0.30361953,0.53643334,0.64573574,-3.6292431,15.111042,29.99572
697,2911358086,arxiv cs dm,arxiv cs gt,False,arxiv cs gt,False,-0.021271467,0.43106943,0.23576939,-8.195187,13.264756,18.384085
698,2911481909,arxiv cs ro,arxiv cs ro,True,arxiv cs ro,True,0.09050691,0.25918633,-0.4781754,-7.216593,6.9919534,6.444127
699,2911543874,arxiv cs ni,arxiv cs cr,False,arxiv cs cr,False,-0.34793353,0.5060463,0.23235548,7.7731843,-28.162678,11.223524
700,2911610870,arxiv cs it,arxiv cs ni,False,arxiv cs ni,False,-0.2668771,0.15614255,-0.57005817,16.718693,-27.92786,12.954641
